大洲,国家,媒体名称,官方网站,官网主要语言
美洲,美国,纽约时报,https://m.cn.nytimes.com,英语,使用中文镜像网站绕过付费墙
美洲,美国,华盛顿邮报,https://www.washingtonpost.com,英语,付费墙
美洲,美国,CNN（美国有线电视新闻网）,https://www.cnn.com,英语
美洲,美国,福克斯新闻,https://www.foxnews.com,英语
美洲,美国,华尔街日报,https://www.wsj.com,英语
美洲,美国,NPR国家公共广播电台,https://www.npr.org,英语
美洲,加拿大,多伦多星报,https://www.thestar.com,英语
美洲,加拿大,环球邮报,https://www.theglobeandmail.com,英语
美洲,加拿大,CBC加拿大广播公司,https://www.cbc.ca,英语/法语
欧洲,德国,明镜周刊,https://www.spiegel.de,德语
欧洲,德国,南德意志报,https://www.sueddeutsche.de,德语
欧洲,德国,图片报,https://www.bild.de,德语
欧洲,法国,世界报,https://www.lemonde.fr,法语
欧洲,法国,费加罗报,https://www.lefigaro.fr,法语
欧洲,法国,法国24台,https://www.france24.com,法语/英语
欧洲,意大利,共和国报,https://www.repubblica.it,意大利语
欧洲,意大利,晚邮报,https://www.corriere.it,意大利语
欧洲,意大利,安莎通讯社,https://www.ansa.it,意大利语
欧洲,英国,卫报,https://www.theguardian.com,英语
欧洲,英国,BBC（英国广播公司）,https://www.bbc.com,英语
欧洲,英国,每日邮报,https://www.dailymail.co.uk,英语
欧洲,俄罗斯,俄罗斯报,https://rg.ru,俄语
欧洲,俄罗斯,第一频道,https://www.1tv.ru,俄语
欧洲,俄罗斯,RT今日俄罗斯,https://www.rt.com,英语/俄语
亚洲,日本,朝日新闻,https://www.asahi.com,日语
亚洲,日本,NHK,https://www.nhk.or.jp,日语
亚洲,日本,共同社,https://www.kyodonews.jp,日语
亚洲,韩国,韩联社,https://www.yna.co.kr,韩语
亚洲,韩国,KBS韩国放送公社,https://www.kbs.co.kr,韩语
亚洲,韩国,朝鲜日报,https://www.chosun.com,韩语
亚洲,卡塔尔,半岛电视台,https://www.aljazeera.com,英语/阿拉伯语
亚洲,新加坡,联合早报,https://www.zaobao.com,中文
亚洲,新加坡,海峡时报,https://www.straitstimes.com,英语
亚洲,印度,NDTV新德里电视台,https://www.ndtv.com,英语
亚洲,印度,印度教徒报,https://www.thehindu.com,英语
